Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P02666	CON__P02666	2	2	2		1	2	2	2	12.4	12.4	12.4	23.583	209	209	0	12.636	0	0	0	0	14527	40524	162410	1009.4	10349	69053	27400	509.19	21292	1199.8	72223	132330	0	0	130.47	440.29	17134	37886	150110	4828	19137	64495	27573	3824.6	24112	5948.2	68127	124400	0	0	0	0	2	2	2	2	2	2	2	2	2	1	2	2	124400000	3			+	13	773;4874	True;True	799;5035	1029;6467;6468	1078;6851;6852	1078;6852		
CON__P02769;CON__P02768-1;tr|A0A0D9QXP9|A0A0D9QXP9_CHLSB	CON__P02769	16;3;2	16;3;2	16;3;2		3	16	16	16	24.4	24.4	24.4	69.293	607	607;609;512	0	117.43	0	0	0	50.042	304590	449770	533170	247.19	223570	610220	379040	1060	463980	1989.4	785600	540020	0	0	1339.2	855.47	293740	419930	513080	28599	250550	568540	387320	15739	483990	21026	745020	507600	0	0	0	1	13	15	15	3	15	15	15	2	16	4	16	16	5791100000	29			+	14	125;471;585;728;1415;2029;2035;2634;2680;2908;3277;3293;3299;3821;4620;5216	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	128;484;602;751;1453;2082;2089;2705;2754;2988;3371;3389;3395;3951;4772;5382	167;168;621;782;783;966;1852;1853;2648;2658;3457;3458;3537;3538;3845;4359;4360;4380;4381;4388;5084;5085;6111;6912	174;175;656;824;825;1012;1950;1951;1952;1953;1954;2778;2788;3656;3657;3658;3769;3770;3771;4091;4647;4648;4670;4671;4680;5406;5407;6460;7326	174;656;825;1012;1951;2778;2788;3658;3769;4091;4648;4671;4680;5406;6460;7326		
CON__P04264;tr|A0A0D9R013|A0A0D9R013_CHLSB	CON__P04264;tr|A0A0D9R013|A0A0D9R013_CHLSB	23;21	22;20	17;15	;tr|A0A0D9R013|A0A0D9R013_CHLSB Keratin 1 OS=Chlorocebus sabaeus OX=60711 GN=KRT1 PE=3 SV=1	2	23	22	17	33.7	32.1	23.9	66.017	644	644;664	0	200.38	0	546.7	129.46	1425.2	560770	705820	492520	1455.4	440490	1502200	389200	2922.5	691830	1215.2	765850	691680	0	513.33	2296.4	3286.3	530550	659150	496530	51411	451550	1399400	413720	29436	698470	26010	730350	650160	0	3	2	4	21	22	22	4	22	22	22	5	24	4	24	24	4852100000	35			+	15	109;843;1435;1635;1900;1907;2748;3079;3539;3542;3583;4025;4120;4125;4140;4173;4188;4434;4487;4509;4510;5093;5156	True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True	111;872;1473;1678;1948;1955;2823;3166;3658;3661;3706;4161;4257;4262;4277;4311;4327;4584;4637;4659;4660;5258;5322	145;146;1120;1121;1883;1884;2140;2472;2473;2481;2482;3617;3618;3619;4083;4725;4726;4729;4789;5339;5457;5464;5480;5481;5528;5529;5550;5551;5870;5934;5961;5962;6743;6744;6840	151;152;1177;1178;1987;1988;2256;2594;2595;2603;2604;3855;3856;3857;4360;5036;5037;5040;5103;5666;5791;5798;5814;5815;5863;5864;5885;5886;6212;6278;6307;6308;7143;7144;7145;7252	151;1177;1987;2256;2594;2604;3857;4360;5036;5040;5103;5666;5791;5798;5815;5864;5885;6212;6278;6307;6308;7143;7252		
CON__P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__P08729;CON__Q9DCV7;CON__Q3KNV1;CON__H-INV:HIT000016045;CON__Q9NSB2;CON__Q6ISB0;tr|A0A0D9RFQ0|A0A0D9RFQ0_CHLSB;tr|A0A0D9RDZ6|A0A0D9RDZ6_CHLSB;tr|A0A0D9RS65|A0A0D9RS65_CHLSB;tr|A0A0D9R0D4|A0A0D9R0D4_CHLSB;CON__Q0VBK2;CON__Q8N1N4-2;CON__Q7RTT2;tr|A0A0D9QZV6|A0A0D9QZV6_CHLSB;tr|A0A0D9R0B5|A0A0D9R0B5_CHLSB;CON__P78386;CON__Q14533;CON__Q61726;CON__P78385;tr|A0A0D9R0B8|A0A0D9R0B8_CHLSB;CON__Q6NT21;CON__REFSEQ:XP_092267;CON__O43790;tr|A0A0D9R0G6|A0A0D9R0G6_CHLSB	CON__P05787	29;13;9;5;4;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26;12;7;2;1;1;3;1;1;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0	23;11;6;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0		27	29	26	23	55.7	52.4	47.4	53.704	483	483;443;499;469;457;469;99;600;600;476;476;460;505;452;521;521;514;507;507;505;479;493;493;493;213;486;489	0	234.43	0	0	0	0	176280	913740	810300	1330	195010	1254400	600260	3205.4	232040	2035.4	1870800	1054400	0	0	354.54	3268.1	181850	852700	759060	52353	245840	1168200	590760	27105	318250	39536	1759200	993400	0	0	0	0	25	25	25	4	25	25	25	3	27	9	28	30	6281500000	48			+	16	110;259;448;841;1133;1341;1433;2004;2334;2571;2817;2831;2985;3012;3109;3178;3291;3542;3754;3775;4141;4207;4394;4402;4403;4547;4990;5118;5157	True;True;True;True;True;True;False;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	112;265;460;870;1165;1166;1378;1471;2056;2398;2640;2894;2908;3068;3069;3098;3197;3271;3387;3661;3883;3904;4278;4279;4347;4540;4548;4549;4550;4697;5153;5284;5323	147;148;338;593;594;1118;1483;1484;1755;1756;1880;1881;2613;3070;3380;3381;3707;3708;3725;3726;3942;3943;3944;3986;4124;4125;4229;4230;4377;4378;4729;5007;5008;5032;5482;5483;5484;5576;5577;5813;5822;5823;5824;5825;6008;6009;6609;6775;6776;6841;6842	153;154;356;628;629;1175;1554;1555;1852;1853;1982;1983;1984;1985;2741;3217;3571;3572;3573;3946;3947;3964;3965;4196;4197;4198;4199;4244;4245;4401;4402;4513;4514;4667;4668;5040;5327;5328;5353;5816;5817;5818;5819;5913;5914;6155;6164;6165;6166;6167;6356;6357;6999;7177;7178;7253;7254	153;356;629;1175;1555;1853;1984;2741;3217;3573;3946;3964;4199;4244;4402;4514;4667;5040;5327;5353;5819;5913;6155;6165;6167;6357;6999;7178;7254	4;5;6;7	168;189;248;256
CON__P12763	CON__P12763	6	6	6		1	6	6	6	20.9	20.9	20.9	38.418	359	359	0	47.628	0	0	0	167.58	28611	230000	230640	59.168	39167	400760	174520	174.84	50836	968.57	459130	334400	0	0	0	838.08	30129	214710	214370	13324	54835	373140	170400	7799.3	73571	12331	431660	314340	0	0	0	2	6	9	9	1	9	9	9	2	9	2	9	9	2869600000	11			+	17	293;398;1303;2057;3698;4533	True;True;True;True;True;True	300;410;1338;2113;3826;4683	386;533;1702;1703;2685;2686;4935;4936;4937;5990;5991	406;565;1793;1794;2815;2816;5252;5253;5254;6338;6339	406;565;1794;2816;5253;6338		
CON__P13645;tr|A0A0D9S2X0|A0A0D9S2X0_CHLSB;CON__P02535-1;CON__Q7Z3Y7;tr|A0A0D9S2X2|A0A0D9S2X2_CHLSB;tr|A0A0D9S2X8|A0A0D9S2X8_CHLSB;CON__A2A4G1;CON__Q7Z3Y8;CON__P08730-1;CON__Q7Z3Z0;tr|A0A0D9S2Y9|A0A0D9S2Y9_CHLSB;CON__Q2M2I5;tr|A0A0D9S2W8|A0A0D9S2W8_CHLSB;CON__Q99456;tr|A0A0D9S2G7|A0A0D9S2G7_CHLSB;CON__Q3ZAW8;CON__Q9Z2K1;tr|A0A0D9S2Y3|A0A0D9S2Y3_CHLSB;CON__Q04695;CON__Q9QWL7;tr|A0A0D9S2E6|A0A0D9S2E6_CHLSB;CON__Q7Z3Y9	CON__P13645;tr|A0A0D9S2X0|A0A0D9S2X0_CHLSB	24;21;5;4;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	24;21;5;4;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	20;17;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	;tr|A0A0D9S2X0|A0A0D9S2X0_CHLSB Keratin 10 OS=Chlorocebus sabaeus OX=60711 GN=KRT10 PE=3 SV=1	22	24	24	20	44	44	40.1	59.51	593	593;616;570;486;464;449;456;459;437;450;460;525;495;494;189;474;469;468;432;433;432;468	0	308.31	0	0	0	12.139	422400	455720	285880	1770.9	424440	1801000	406720	1831.7	407920	1095.8	508610	555070	0	0	1443.7	1157.5	398010	425730	298340	47180	423810	1677900	417180	33772	419910	20270	484200	521760	0	0	0	1	18	18	18	3	18	19	19	2	19	6	19	19	4207200000	43			+	18	95;279;583;1141;1904;2006;2206;2313;2451;2772;2992;3511;3610;3653;3654;3816;4031;4246;4247;4280;4443;4840;5016;5164	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	94;95;286;600;1174;1952;2058;2264;2377;2516;2849;3076;3628;3734;3778;3779;3780;3946;4167;4387;4388;4421;4593;4999;5180;5181;5330	121;122;123;124;367;368;779;780;1495;1496;2477;2478;2615;2616;2885;3040;3221;3651;3652;3953;4687;4821;4870;4871;4872;4873;4874;4875;5079;5345;5624;5625;5664;5665;5880;5881;6416;6417;6645;6646;6849	127;128;129;130;387;388;821;822;1566;1567;2599;2600;2743;2744;3018;3181;3388;3889;3890;4211;4998;5135;5185;5186;5187;5188;5189;5190;5191;5192;5401;5672;5961;5962;6001;6002;6222;6223;6796;6797;7045;7046;7261	127;388;821;1566;2600;2743;3018;3181;3388;3890;4211;4998;5135;5185;5192;5401;5672;5961;5962;6001;6222;6797;7046;7261	2;8;9	150;271;306
CON__P13647;tr|A0A0D9R055|A0A0D9R055_CHLSB;tr|A0A0D9R0A1|A0A0D9R0A1_CHLSB;CON__O95678;CON__Q8VED5;CON__P07744;CON__REFSEQ:XP_932229	CON__P13647;tr|A0A0D9R055|A0A0D9R055_CHLSB;tr|A0A0D9R0A1|A0A0D9R0A1_CHLSB;CON__O95678	9;8;5;5;4;3;1	3;3;0;0;0;0;0	2;2;0;0;0;0;0	;tr|A0A0D9R055|A0A0D9R055_CHLSB Keratin 5 OS=Chlorocebus sabaeus OX=60711 GN=KRT5 PE=3 SV=1;tr|A0A0D9R0A1|A0A0D9R0A1_CHLSB Keratin 75 OS=Chlorocebus sabaeus OX=60711 GN=KRT75 PE=3 SV=1;	7	9	3	2	14.1	4.9	3.2	62.378	590	590;593;551;551;531;525;345	0	20.206	0	0	0	0	35744	94164	73613	259.44	36456	148840	62884	0	36480	423.12	132360	98422	0	0	0	273.1	34823	87935	70613	7089.6	40143	138730	62742	2853	42195	4382.1	124810	92524	0	0	0	0	4	4	4	1	4	4	4	0	4	2	4	4	477890000	4			+	19	259;423;1341;1433;2730;2752;3542;3549;5122	False;True;False;False;True;False;False;False;True	265;435;1378;1471;2805;2829;3661;3668;5288	338;561;562;1755;1756;1880;1881;3595;3625;4729;4737;4738;6781	356;593;594;1852;1853;1982;1983;1984;1985;3831;3863;5040;5048;5049;7183	356;593;1853;1984;3831;3863;5040;5048;7183		
CON__P15497	CON__P15497	21	21	20		1	21	21	20	62.6	62.6	62.6	30.276	265	265	0	177.44	0	107.57	0	0	92863	444030	414250	0	96609	574900	365670	0	140870	439	783040	830950	0	99.342	0	1134.4	93854	414390	388180	21725	124930	535140	357420	12831	178660	30491	737120	781050	0	1	0	0	11	13	13	0	13	13	13	0	13	1	13	13	4465000000	32			+	20	222;258;630;887;1195;1196;2698;3001;3195;3720;3743;3800;4673;4822;4823;4950;4958;4969;4982;4983;5097	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	226;264;648;917;1229;1230;2773;3086;3288;3849;3872;3930;4828;4981;4982;5113;5121;5132;5145;5146;5262	288;337;847;1177;1178;1567;1568;1569;3558;3968;3969;3970;4251;4964;4994;5061;6194;6390;6391;6392;6561;6562;6571;6572;6585;6598;6599;6600;6601;6748	300;354;355;893;1237;1238;1648;1649;1650;3791;4226;4227;4228;4535;5283;5314;5382;6564;6767;6768;6769;6770;6950;6951;6960;6961;6974;6988;6989;6990;6991;7149	300;354;893;1238;1648;1649;3791;4228;4535;5283;5314;5382;6564;6769;6770;6950;6961;6974;6989;6990;7149		
CON__P17697	CON__P17697	1	1	1		1	1	1	1	2.7	2.7	2.7	51.113	439	439	0.0030303	6.4446	0	0	0	0	5673.7	23880	22469	0	6229.8	26625	16454	0	6532	335.54	41787	25862	0	0	163.74	0	5768.4	22298	21115	1480.9	7578.4	24827	16225	1092.8	8512.1	1522.8	39319	24319	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	17898000	1			+	21	457	True	469	603	638	638		
CON__P34955	CON__P34955	13	13	13		1	13	13	13	29.6	29.6	29.6	46.103	416	416	0	113.64	0	0	0	21.477	138350	708260	666100	293.46	122350	1109000	526910	2961.2	210430	2661.9	1595100	804920	0	0	483.7	4589.7	143290	660900	622600	39403	165780	1032800	515900	26012	281110	30999	1500200	756690	0	0	0	1	13	13	13	1	13	16	16	4	17	6	18	18	3111000000	21			+	22	39;98;631;1858;2272;2535;3149;3186;3262;3579;4217;4322;4844	True;True;True;True;True;True;True;True;True;True;True;True;True	38;98;649;1906;2335;2604;3241;3279;3356;3701;4358;4466;5004	47;48;128;848;2414;2983;2984;3335;4189;4240;4241;4342;4343;4783;5590;5723;5724;6424;6425	52;53;134;894;2536;3121;3122;3516;4473;4524;4525;4629;4630;4631;5097;5927;6063;6064;6805;6806;6807	52;134;894;2536;3122;3516;4473;4525;4631;5097;5927;6064;6805		
CON__P35527;tr|A0A0D9S2F4|A0A0D9S2F4_CHLSB	CON__P35527;tr|A0A0D9S2F4|A0A0D9S2F4_CHLSB	15;9	14;8	14;8	;tr|A0A0D9S2F4|A0A0D9S2F4_CHLSB Keratin 9 OS=Chlorocebus sabaeus OX=60711 GN=KRT9 PE=3 SV=1	2	15	14	14	35.3	34.2	34.2	62.129	623	623;633	0	191.93	0	0	0	0	128810	114770	76573	0	78151	153650	28253	0	254080	0	144440	110670	0	0	382.75	0	121110	107090	79894	4128.8	78228	143050	38636	0	246900	3480.7	139830	104020	0	0	0	0	4	4	4	0	4	4	4	0	5	0	5	5	814230000	19			+	23	1039;1504;1701;1715;1716;2007;2207;2510;2772;3670;3844;4009;4010;4076;4486	True;True;True;True;True;True;True;True;False;True;True;True;True;True;True	1069;1545;1746;1760;1761;2059;2265;2266;2578;2849;3797;3974;4142;4143;4144;4145;4214;4636	1365;1973;2224;2238;2239;2617;2618;2886;2887;3305;3651;3652;4895;5114;5316;5317;5318;5319;5320;5407;5933	1429;2080;2343;2357;2358;2745;2746;3019;3020;3483;3889;3890;5212;5437;5643;5644;5645;5646;5647;5741;6277	1429;2080;2343;2357;2358;2745;3020;3483;3890;5212;5437;5645;5647;5741;6277	10;11;12	245;276;286
CON__P35908v2;CON__P35908;tr|A0A0D9R016|A0A0D9R016_CHLSB;CON__Q3TTY5;CON__Q9R0H5;CON__Q6NXH9;CON__Q7Z794;tr|A0A0D9QZZ8|A0A0D9QZZ8_CHLSB;CON__P19013	CON__P35908v2;CON__P35908;tr|A0A0D9R016|A0A0D9R016_CHLSB	17;16;11;3;2;2;2;2;2	15;14;9;2;0;0;0;0;1	11;10;6;2;0;0;0;0;0	;;tr|A0A0D9R016|A0A0D9R016_CHLSB Keratin 2 OS=Chlorocebus sabaeus OX=60711 GN=KRT2 PE=3 SV=1	9	17	15	11	31.3	28.3	21.9	65.432	639	639;645;641;707;524;539;578;579;594	0	137.99	0	337.36	0	0	279580	369570	256430	383.04	355000	1358100	264660	3402.4	298790	989.6	352810	417020	0	311.28	257.76	402.6	265150	345240	261020	39194	354360	1265200	276170	28373	305280	15442	336150	392620	0	1	0	0	14	14	14	1	14	14	14	3	14	5	15	16	1362400000	19			+	24	20;424;886;1341;1435;1683;1697;1717;2752;3125;3540;3549;4187;4695;4700;5158;5199	True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True	19;436;916;1378;1473;1728;1742;1762;2829;3217;3659;3668;4326;4850;4855;5324;5365	22;563;1176;1755;1756;1883;1884;2203;2219;2240;2241;3625;4159;4727;4737;4738;5548;5549;6222;6228;6229;6843;6894	23;595;1236;1852;1853;1987;1988;2322;2338;2359;2360;3863;4443;5038;5048;5049;5883;5884;6593;6599;6600;7255;7308	23;595;1236;1853;1987;2322;2338;2359;3863;4443;5038;5048;5883;6593;6599;7255;7308		
